Order_ID,Date,Product,Category,Quantity,Unit_Cost,Unit_Price,Revenue,Cost,Profit,Profit_Margin,Customer_Type,Payment_Method
ORD0574,2026-01-03,A4 Sheets,Paper,2,180,250,500,360,140,28.000000000000004,Individual,Cash
ORD1886,2026-01-03,Ball Pen,Writing,8,5,10,80,40,40,50.0,Individual,Card
ORD1245,2026-01-03,Notebook,Paper,8,35,60,480,280,200,41.66666666666667,Individual,UPI
ORD1135,2026-01-03,Glue,School,3,15,25,75,45,30,40.0,Individual,Card
ORD1169,2026-01-03,Gel Pen,Writing,5,10,20,100,50,50,50.0,Individual,Cash
ORD1506,2026-01-03,Calculator,Office,4,180,300,1200,720,480,40.0,Student,UPI
ORD1772,2026-01-04,Calculator,Office,6,180,300,1800,1080,720,40.0,Individual,Card
ORD0708,2026-01-04,Gel Pen,Writing,10,10,20,200,100,100,50.0,Student,Cash
ORD0644,2026-01-04,Notebook,Paper,2,35,60,120,70,50,41.66666666666667,Student,Card
ORD0200,2026-01-04,Pencil,Writing,8,4,8,64,32,32,50.0,Business,Card
ORD0212,2026-01-04,Glue,School,5,15,25,125,75,50,40.0,Individual,Card
ORD1661,2026-01-05,Eraser,School,8,3,7,56,24,32,57.14285714285714,Student,Card
ORD0321,2026-01-05,Stapler,Office,9,45,75,675,405,270,40.0,Individual,Card
ORD1567,2026-01-05,File,Office,5,18,35,175,90,85,48.57142857142857,Student,Card
ORD0753,2026-01-05,A4 Sheets,Paper,5,180,250,1250,900,350,28.000000000000004,Business,Card
ORD0775,2026-01-05,Highlighter,Writing,9,20,35,315,180,135,42.857142857142854,Business,Cash
ORD0005,2026-01-05,Ball Pen,Writing,1,5,10,10,5,5,50.0,Individual,Cash
ORD0495,2026-01-06,File,Office,2,18,35,70,36,34,48.57142857142857,Student,UPI
ORD1788,2026-01-06,Stapler,Office,5,45,75,375,225,150,40.0,Student,Card
ORD0722,2026-01-06,Marker,Writing,3,20,35,105,60,45,42.857142857142854,Business,UPI
ORD0099,2026-01-07,Gel Pen,Writing,3,10,20,60,30,30,50.0,Student,Cash
ORD0657,2026-01-07,Notebook,Paper,3,35,60,180,105,75,41.66666666666667,Student,UPI
ORD0774,2026-01-07,File,Office,9,18,35,315,162,153,48.57142857142857,Business,UPI
ORD1023,2026-01-07,Notebook,Paper,1,35,60,60,35,25,41.66666666666667,Student,Card
ORD1332,2026-01-07,File,Office,6,18,35,210,108,102,48.57142857142857,Student,Cash
ORD1018,2026-01-08,Gel Pen,Writing,5,10,20,100,50,50,50.0,Individual,Card
ORD1009,2026-01-08,Ball Pen,Writing,10,5,10,100,50,50,50.0,Student,Cash
ORD0461,2026-01-08,Gel Pen,Writing,1,10,20,20,10,10,50.0,Individual,Cash
ORD1881,2026-01-08,Ball Pen,Writing,10,5,10,100,50,50,50.0,Student,Cash
ORD0360,2026-01-08,Color Pencils,School,7,45,80,560,315,245,43.75,Individual,Card
ORD1556,2026-01-08,A4 Sheets,Paper,9,180,250,2250,1620,630,28.000000000000004,Student,UPI
ORD0739,2026-01-08,Scissors,Office,6,25,45,270,150,120,44.44444444444444,Individual,Card
ORD0049,2026-01-08,Marker,Writing,2,20,35,70,40,30,42.857142857142854,Student,UPI
ORD1627,2026-01-08,Ball Pen,Writing,1,5,10,10,5,5,50.0,Student,Card
ORD0116,2026-01-08,Drawing Book,School,5,30,50,250,150,100,40.0,Student,Card
ORD1108,2026-01-09,A4 Sheets,Paper,4,180,250,1000,720,280,28.000000000000004,Individual,UPI
ORD1119,2026-01-09,Calculator,Office,6,180,300,1800,1080,720,40.0,Business,UPI
ORD0569,2026-01-09,Eraser,School,1,3,7,7,3,4,57.14285714285714,Student,Cash
ORD0678,2026-01-09,Marker,Writing,3,20,35,105,60,45,42.857142857142854,Business,Cash
ORD1724,2026-01-09,Ball Pen,Writing,2,5,10,20,10,10,50.0,Student,Card
ORD0299,2026-01-09,Calculator,Office,8,180,300,2400,1440,960,40.0,Student,Cash
ORD1033,2026-01-09,Pencil,Writing,2,4,8,16,8,8,50.0,Individual,UPI
ORD1536,2026-01-09,Color Pencils,School,4,45,80,320,180,140,43.75,Business,UPI
ORD0162,2026-01-09,Eraser,School,1,3,7,7,3,4,57.14285714285714,Business,Card
ORD0226,2026-01-09,Color Pencils,School,10,45,80,800,450,350,43.75,Business,Card
ORD1992,2026-01-09,Pencil,Writing,7,4,8,56,28,28,50.0,Individual,UPI
ORD1295,2026-01-10,Glue,School,4,15,25,100,60,40,40.0,Student,Cash
ORD1014,2026-01-10,Glue,School,1,15,25,25,15,10,40.0,Individual,UPI
ORD1841,2026-01-10,Pencil,Writing,3,4,8,24,12,12,50.0,Student,Cash
ORD0714,2026-01-10,Marker,Writing,5,20,35,175,100,75,42.857142857142854,Business,Card
ORD1614,2026-01-10,Highlighter,Writing,2,20,35,70,40,30,42.857142857142854,Student,UPI
ORD0221,2026-01-10,Eraser,School,3,3,7,21,9,12,57.14285714285714,Student,Cash
ORD1438,2026-01-10,A4 Sheets,Paper,4,180,250,1000,720,280,28.000000000000004,Individual,UPI
ORD1816,2026-01-10,Ball Pen,Writing,6,5,10,60,30,30,50.0,Individual,Cash
ORD0488,2026-01-10,Marker,Writing,4,20,35,140,80,60,42.857142857142854,Business,Cash
ORD0635,2026-01-10,A4 Sheets,Paper,2,180,250,500,360,140,28.000000000000004,Student,Cash
ORD1569,2026-01-10,A4 Sheets,Paper,7,180,250,1750,1260,490,28.000000000000004,Individual,Cash
ORD1576,2026-01-10,Scissors,Office,6,25,45,270,150,120,44.44444444444444,Business,Card
ORD1968,2026-01-10,Eraser,School,9,3,7,63,27,36,57.14285714285714,Business,UPI
ORD1564,2026-01-11,Highlighter,Writing,7,20,35,245,140,105,42.857142857142854,Student,Card
ORD1211,2026-01-11,Stapler,Office,10,45,75,750,450,300,40.0,Business,Card
ORD0980,2026-01-11,Color Pencils,School,10,45,80,800,450,350,43.75,Student,UPI
ORD1193,2026-01-11,Drawing Book,School,1,30,50,50,30,20,40.0,Student,UPI
ORD0902,2026-01-11,Marker,Writing,8,20,35,280,160,120,42.857142857142854,Student,Cash
ORD0673,2026-01-11,File,Office,4,18,35,140,72,68,48.57142857142857,Student,Cash
ORD0829,2026-01-11,Ball Pen,Writing,9,5,10,90,45,45,50.0,Business,UPI
ORD0942,2026-01-12,Drawing Book,School,1,30,50,50,30,20,40.0,Individual,UPI
ORD1534,2026-01-12,Drawing Book,School,7,30,50,350,210,140,40.0,Business,Cash
ORD0187,2026-01-12,Color Pencils,School,3,45,80,240,135,105,43.75,Business,UPI
ORD0972,2026-01-12,Scissors,Office,8,25,45,360,200,160,44.44444444444444,Student,Card
ORD1304,2026-01-13,Pencil,Writing,1,4,8,8,4,4,50.0,Business,Card
ORD0436,2026-01-13,Gel Pen,Writing,7,10,20,140,70,70,50.0,Individual,UPI
ORD0357,2026-01-13,Ball Pen,Writing,6,5,10,60,30,30,50.0,Individual,Cash
ORD0220,2026-01-13,Gel Pen,Writing,5,10,20,100,50,50,50.0,Business,Card
ORD1764,2026-01-13,Gel Pen,Writing,3,10,20,60,30,30,50.0,Student,Card
ORD1301,2026-01-14,Notebook,Paper,7,35,60,420,245,175,41.66666666666667,Individual,UPI
ORD1228,2026-01-14,Color Pencils,School,5,45,80,400,225,175,43.75,Individual,UPI
ORD0036,2026-01-14,Gel Pen,Writing,9,10,20,180,90,90,50.0,Individual,UPI
ORD1631,2026-01-14,Calculator,Office,4,180,300,1200,720,480,40.0,Business,UPI
ORD1472,2026-01-14,Notebook,Paper,9,35,60,540,315,225,41.66666666666667,Business,UPI
ORD1673,2026-01-14,Color Pencils,School,4,45,80,320,180,140,43.75,Individual,UPI
ORD0311,2026-01-14,Ball Pen,Writing,6,5,10,60,30,30,50.0,Individual,Card
ORD0359,2026-01-14,Eraser,School,7,3,7,49,21,28,57.14285714285714,Student,Cash
ORD1171,2026-01-14,Glue,School,9,15,25,225,135,90,40.0,Business,Cash
ORD1462,2026-01-14,Marker,Writing,9,20,35,315,180,135,42.857142857142854,Student,Card
ORD0330,2026-01-14,A4 Sheets,Paper,5,180,250,1250,900,350,28.000000000000004,Business,UPI
ORD0442,2026-01-15,File,Office,2,18,35,70,36,34,48.57142857142857,Student,Card
ORD0385,2026-01-15,Drawing Book,School,9,30,50,450,270,180,40.0,Student,Card
ORD0276,2026-01-15,File,Office,8,18,35,280,144,136,48.57142857142857,Individual,Card
ORD0839,2026-01-15,Stapler,Office,9,45,75,675,405,270,40.0,Individual,Cash
ORD0751,2026-01-15,Gel Pen,Writing,9,10,20,180,90,90,50.0,Business,Card
ORD0993,2026-01-16,File,Office,5,18,35,175,90,85,48.57142857142857,Student,UPI
ORD1290,2026-01-16,Drawing Book,School,9,30,50,450,270,180,40.0,Student,Cash
ORD0586,2026-01-16,Stapler,Office,8,45,75,600,360,240,40.0,Student,Cash
ORD0325,2026-01-16,Notebook,Paper,10,35,60,600,350,250,41.66666666666667,Student,Card
ORD0733,2026-01-16,A4 Sheets,Paper,5,180,250,1250,900,350,28.000000000000004,Student,Card
ORD1026,2026-01-16,Highlighter,Writing,8,20,35,280,160,120,42.857142857142854,Business,UPI
ORD0847,2026-01-17,Drawing Book,School,7,30,50,350,210,140,40.0,Student,UPI
ORD1098,2026-01-17,Stapler,Office,10,45,75,750,450,300,40.0,Business,Cash
ORD0111,2026-01-17,Highlighter,Writing,9,20,35,315,180,135,42.857142857142854,Business,Card
ORD0092,2026-01-17,Glue,School,3,15,25,75,45,30,40.0,Student,Card
ORD1518,2026-01-17,Calculator,Office,7,180,300,2100,1260,840,40.0,Individual,Card
ORD1719,2026-01-17,Drawing Book,School,4,30,50,200,120,80,40.0,Individual,Cash
ORD0377,2026-01-17,Notebook,Paper,2,35,60,120,70,50,41.66666666666667,Individual,Cash
ORD0688,2026-01-17,Ball Pen,Writing,1,5,10,10,5,5,50.0,Student,UPI
ORD0180,2026-01-17,Pencil,Writing,7,4,8,56,28,28,50.0,Business,UPI
ORD1149,2026-01-18,Scissors,Office,5,25,45,225,125,100,44.44444444444444,Individual,Cash
ORD1349,2026-01-18,Calculator,Office,3,180,300,900,540,360,40.0,Individual,Cash
ORD1059,2026-01-18,Scissors,Office,3,25,45,135,75,60,44.44444444444444,Individual,UPI
ORD0638,2026-01-18,Pencil,Writing,4,4,8,32,16,16,50.0,Individual,UPI
ORD0113,2026-01-18,Eraser,School,4,3,7,28,12,16,57.14285714285714,Individual,Card
ORD1692,2026-01-18,Gel Pen,Writing,8,10,20,160,80,80,50.0,Individual,Cash
ORD1866,2026-01-18,A4 Sheets,Paper,1,180,250,250,180,70,28.000000000000004,Business,Card
ORD1815,2026-01-18,Color Pencils,School,4,45,80,320,180,140,43.75,Individual,Cash
ORD0523,2026-01-18,Calculator,Office,2,180,300,600,360,240,40.0,Business,Card
ORD0870,2026-01-18,Glue,School,8,15,25,200,120,80,40.0,Student,UPI
ORD0953,2026-01-18,Eraser,School,6,3,7,42,18,24,57.14285714285714,Student,UPI
ORD0395,2026-01-18,Marker,Writing,9,20,35,315,180,135,42.857142857142854,Student,UPI
ORD0650,2026-01-18,File,Office,8,18,35,280,144,136,48.57142857142857,Individual,Card
ORD0347,2026-01-19,Calculator,Office,2,180,300,600,360,240,40.0,Student,Card
ORD0463,2026-01-19,Eraser,School,7,3,7,49,21,28,57.14285714285714,Business,Card
ORD0086,2026-01-19,A4 Sheets,Paper,7,180,250,1750,1260,490,28.000000000000004,Individual,UPI
ORD0776,2026-01-19,Color Pencils,School,1,45,80,80,45,35,43.75,Student,Card
ORD0669,2026-01-19,Scissors,Office,5,25,45,225,125,100,44.44444444444444,Business,UPI
ORD0179,2026-01-20,Scissors,Office,5,25,45,225,125,100,44.44444444444444,Student,Cash
ORD1969,2026-01-20,Highlighter,Writing,9,20,35,315,180,135,42.857142857142854,Business,UPI
ORD1127,2026-01-20,Gel Pen,Writing,5,10,20,100,50,50,50.0,Business,Cash
ORD0909,2026-01-21,Ball Pen,Writing,6,5,10,60,30,30,50.0,Individual,Cash
ORD0999,2026-01-21,Eraser,School,9,3,7,63,27,36,57.14285714285714,Student,Card
ORD1983,2026-01-21,Calculator,Office,5,180,300,1500,900,600,40.0,Individual,Cash
ORD1819,2026-01-21,Glue,School,10,15,25,250,150,100,40.0,Individual,Cash
ORD1898,2026-01-21,Notebook,Paper,7,35,60,420,245,175,41.66666666666667,Business,UPI
ORD0827,2026-01-21,A4 Sheets,Paper,2,180,250,500,360,140,28.000000000000004,Business,Cash
ORD1808,2026-01-21,Eraser,School,8,3,7,56,24,32,57.14285714285714,Individual,Cash
ORD0364,2026-01-21,Marker,Writing,3,20,35,105,60,45,42.857142857142854,Student,UPI
ORD0460,2026-01-22,A4 Sheets,Paper,7,180,250,1750,1260,490,28.000000000000004,Individual,Card
ORD1254,2026-01-22,Scissors,Office,9,25,45,405,225,180,44.44444444444444,Student,UPI
ORD1668,2026-01-22,Gel Pen,Writing,10,10,20,200,100,100,50.0,Individual,UPI
ORD0910,2026-01-22,Color Pencils,School,9,45,80,720,405,315,43.75,Student,Cash
ORD1117,2026-01-22,Eraser,School,8,3,7,56,24,32,57.14285714285714,Business,UPI
ORD1751,2026-01-22,Stapler,Office,4,45,75,300,180,120,40.0,Individual,Card
ORD0758,2026-01-22,Drawing Book,School,10,30,50,500,300,200,40.0,Student,Cash
ORD0109,2026-01-22,Pencil,Writing,10,4,8,80,40,40,50.0,Individual,Card
ORD0917,2026-01-22,Drawing Book,School,9,30,50,450,270,180,40.0,Individual,Card
ORD1104,2026-01-22,Scissors,Office,2,25,45,90,50,40,44.44444444444444,Business,Cash
ORD1875,2026-01-22,Color Pencils,School,2,45,80,160,90,70,43.75,Business,Card
ORD1076,2026-01-22,Pencil,Writing,1,4,8,8,4,4,50.0,Business,Card
ORD1337,2026-01-23,Eraser,School,3,3,7,21,9,12,57.14285714285714,Individual,UPI
ORD1229,2026-01-23,A4 Sheets,Paper,7,180,250,1750,1260,490,28.000000000000004,Student,Card
ORD0323,2026-01-23,Marker,Writing,7,20,35,245,140,105,42.857142857142854,Student,Card
ORD0768,2026-01-23,A4 Sheets,Paper,8,180,250,2000,1440,560,28.000000000000004,Individual,Cash
ORD1769,2026-01-24,File,Office,2,18,35,70,36,34,48.57142857142857,Individual,Card
ORD0785,2026-01-24,Stapler,Office,5,45,75,375,225,150,40.0,Individual,UPI
ORD1560,2026-01-24,Stapler,Office,8,45,75,600,360,240,40.0,Student,Cash
ORD1186,2026-01-24,Drawing Book,School,8,30,50,400,240,160,40.0,Business,Card
ORD1054,2026-01-24,Drawing Book,School,6,30,50,300,180,120,40.0,Student,Cash
ORD1469,2026-01-24,Scissors,Office,10,25,45,450,250,200,44.44444444444444,Individual,Card
ORD0738,2026-01-24,Glue,School,6,15,25,150,90,60,40.0,Individual,Card
ORD1688,2026-01-25,Drawing Book,School,4,30,50,200,120,80,40.0,Student,Cash
ORD0430,2026-01-25,Drawing Book,School,2,30,50,100,60,40,40.0,Individual,UPI
ORD0838,2026-01-25,Eraser,School,6,3,7,42,18,24,57.14285714285714,Business,UPI
ORD0476,2026-01-25,Color Pencils,School,1,45,80,80,45,35,43.75,Individual,UPI
ORD0736,2026-01-25,Notebook,Paper,3,35,60,180,105,75,41.66666666666667,Business,Card
ORD0920,2026-01-25,Stapler,Office,9,45,75,675,405,270,40.0,Business,Card
ORD1372,2026-01-25,Pencil,Writing,4,4,8,32,16,16,50.0,Business,UPI
ORD1616,2026-01-25,Eraser,School,7,3,7,49,21,28,57.14285714285714,Individual,Card
ORD0913,2026-01-25,Color Pencils,School,2,45,80,160,90,70,43.75,Student,UPI
ORD0589,2026-01-25,Color Pencils,School,7,45,80,560,315,245,43.75,Business,UPI
ORD0592,2026-01-25,Stapler,Office,1,45,75,75,45,30,40.0,Individual,Cash
ORD0762,2026-01-26,Ball Pen,Writing,9,5,10,90,45,45,50.0,Business,Card
ORD1342,2026-01-26,A4 Sheets,Paper,7,180,250,1750,1260,490,28.000000000000004,Individual,Cash
ORD1949,2026-01-26,Drawing Book,School,2,30,50,100,60,40,40.0,Student,Card
ORD1854,2026-01-26,File,Office,10,18,35,350,180,170,48.57142857142857,Student,Cash
ORD1425,2026-01-26,Marker,Writing,2,20,35,70,40,30,42.857142857142854,Student,Card
ORD0653,2026-01-26,A4 Sheets,Paper,9,180,250,2250,1620,630,28.000000000000004,Business,Card
ORD0427,2026-01-26,Drawing Book,School,1,30,50,50,30,20,40.0,Student,Card
ORD1810,2026-01-26,Ball Pen,Writing,1,5,10,10,5,5,50.0,Business,Cash
ORD0234,2026-01-27,File,Office,10,18,35,350,180,170,48.57142857142857,Business,Cash
ORD1485,2026-01-27,Pencil,Writing,3,4,8,24,12,12,50.0,Business,Cash
ORD1272,2026-01-27,Drawing Book,School,1,30,50,50,30,20,40.0,Individual,Card
ORD1652,2026-01-27,Calculator,Office,9,180,300,2700,1620,1080,40.0,Business,UPI
ORD1699,2026-01-27,A4 Sheets,Paper,4,180,250,1000,720,280,28.000000000000004,Business,UPI
ORD1975,2026-01-28,File,Office,7,18,35,245,126,119,48.57142857142857,Business,Cash
ORD0641,2026-01-28,Scissors,Office,4,25,45,180,100,80,44.44444444444444,Student,Cash
ORD1246,2026-01-28,Eraser,School,8,3,7,56,24,32,57.14285714285714,Student,Card
ORD1128,2026-01-28,Glue,School,3,15,25,75,45,30,40.0,Business,UPI
ORD1870,2026-01-28,Calculator,Office,8,180,300,2400,1440,960,40.0,Business,Cash
ORD0500,2026-01-29,Drawing Book,School,1,30,50,50,30,20,40.0,Business,Cash
ORD0450,2026-01-29,Gel Pen,Writing,7,10,20,140,70,70,50.0,Student,Card
ORD1537,2026-01-29,Pencil,Writing,7,4,8,56,28,28,50.0,Individual,Card
ORD1609,2026-01-29,A4 Sheets,Paper,2,180,250,500,360,140,28.000000000000004,Student,Cash
ORD1646,2026-01-29,Eraser,School,10,3,7,70,30,40,57.14285714285714,Individual,Card
ORD1226,2026-01-29,Calculator,Office,2,180,300,600,360,240,40.0,Business,UPI
ORD0651,2026-01-29,Scissors,Office,3,25,45,135,75,60,44.44444444444444,Business,UPI
ORD0172,2026-01-29,Glue,School,2,15,25,50,30,20,40.0,Student,Cash
ORD1083,2026-01-29,Scissors,Office,9,25,45,405,225,180,44.44444444444444,Business,UPI
ORD0926,2026-01-29,Eraser,School,2,3,7,14,6,8,57.14285714285714,Student,UPI
ORD1024,2026-01-29,Marker,Writing,6,20,35,210,120,90,42.857142857142854,Individual,UPI
ORD0929,2026-01-29,File,Office,10,18,35,350,180,170,48.57142857142857,Student,UPI
ORD1911,2026-01-29,Stapler,Office,1,45,75,75,45,30,40.0,Student,UPI
ORD1267,2026-01-30,Ball Pen,Writing,4,5,10,40,20,20,50.0,Student,Card
ORD0306,2026-01-30,Eraser,School,8,3,7,56,24,32,57.14285714285714,Student,Cash
ORD0171,2026-01-30,Ball Pen,Writing,9,5,10,90,45,45,50.0,Individual,Cash
ORD1947,2026-01-30,Highlighter,Writing,7,20,35,245,140,105,42.857142857142854,Student,UPI
ORD1718,2026-01-30,Ball Pen,Writing,3,5,10,30,15,15,50.0,Business,Card
ORD0732,2026-01-30,Pencil,Writing,1,4,8,8,4,4,50.0,Business,Card
ORD0225,2026-01-30,Ball Pen,Writing,2,5,10,20,10,10,50.0,Student,UPI
ORD1871,2026-01-31,A4 Sheets,Paper,1,180,250,250,180,70,28.000000000000004,Business,Card
ORD1392,2026-01-31,Notebook,Paper,3,35,60,180,105,75,41.66666666666667,Individual,Cash
ORD1395,2026-01-31,Notebook,Paper,4,35,60,240,140,100,41.66666666666667,Student,UPI
ORD1628,2026-01-31,Marker,Writing,8,20,35,280,160,120,42.857142857142854,Individual,UPI
ORD0081,2026-01-31,File,Office,10,18,35,350,180,170,48.57142857142857,Student,Card
ORD1607,2026-01-31,Highlighter,Writing,10,20,35,350,200,150,42.857142857142854,Student,Card
ORD0218,2026-01-31,Pencil,Writing,10,4,8,80,40,40,50.0,Individual,Cash
ORD0661,2026-01-31,File,Office,4,18,35,140,72,68,48.57142857142857,Business,Card
ORD1912,2026-01-31,Stapler,Office,4,45,75,300,180,120,40.0,Student,Card
ORD0112,2026-02-01,Eraser,School,9,3,7,63,27,36,57.14285714285714,Business,UPI
ORD0348,2026-02-01,Stapler,Office,9,45,75,675,405,270,40.0,Business,Cash
ORD1862,2026-02-01,Highlighter,Writing,10,20,35,350,200,150,42.857142857142854,Student,Cash
ORD1828,2026-02-01,Ball Pen,Writing,9,5,10,90,45,45,50.0,Business,Cash
ORD0255,2026-02-01,Gel Pen,Writing,9,10,20,180,90,90,50.0,Student,UPI
ORD1795,2026-02-01,Pencil,Writing,7,4,8,56,28,28,50.0,Business,Card
ORD1624,2026-02-02,Calculator,Office,3,180,300,900,540,360,40.0,Individual,Cash
ORD1252,2026-02-02,Highlighter,Writing,9,20,35,315,180,135,42.857142857142854,Business,Card
ORD0717,2026-02-02,Glue,School,5,15,25,125,75,50,40.0,Business,Card
ORD0749,2026-02-02,Calculator,Office,10,180,300,3000,1800,1200,40.0,Individual,UPI
ORD1431,2026-02-02,Highlighter,Writing,3,20,35,105,60,45,42.857142857142854,Student,Card
ORD0411,2026-02-02,Drawing Book,School,7,30,50,350,210,140,40.0,Individual,Cash
ORD1143,2026-02-02,Calculator,Office,6,180,300,1800,1080,720,40.0,Business,Cash
ORD1885,2026-02-02,Drawing Book,School,1,30,50,50,30,20,40.0,Student,Cash
ORD1566,2026-02-02,Calculator,Office,9,180,300,2700,1620,1080,40.0,Business,Cash
ORD0047,2026-02-03,Color Pencils,School,3,45,80,240,135,105,43.75,Individual,UPI
ORD1682,2026-02-03,Gel Pen,Writing,4,10,20,80,40,40,50.0,Business,Card
ORD1146,2026-02-03,Pencil,Writing,6,4,8,48,24,24,50.0,Student,UPI
ORD0466,2026-02-03,Gel Pen,Writing,3,10,20,60,30,30,50.0,Student,Cash
ORD0525,2026-02-03,Scissors,Office,6,25,45,270,150,120,44.44444444444444,Business,Cash
ORD0634,2026-02-03,Calculator,Office,1,180,300,300,180,120,40.0,Student,UPI
ORD1269,2026-02-03,Ball Pen,Writing,7,5,10,70,35,35,50.0,Student,UPI
ORD0757,2026-02-03,Drawing Book,School,9,30,50,450,270,180,40.0,Student,Cash
ORD1030,2026-02-03,Eraser,School,9,3,7,63,27,36,57.14285714285714,Business,UPI
ORD1747,2026-02-03,Stapler,Office,10,45,75,750,450,300,40.0,Business,Cash
ORD1276,2026-02-04,Scissors,Office,1,25,45,45,25,20,44.44444444444444,Individual,Cash
ORD0431,2026-02-04,File,Office,4,18,35,140,72,68,48.57142857142857,Individual,Cash
ORD0874,2026-02-04,Gel Pen,Writing,6,10,20,120,60,60,50.0,Business,UPI
ORD0648,2026-02-04,Marker,Writing,4,20,35,140,80,60,42.857142857142854,Student,Card
ORD1845,2026-02-04,Highlighter,Writing,10,20,35,350,200,150,42.857142857142854,Student,Card
ORD1805,2026-02-04,File,Office,10,18,35,350,180,170,48.57142857142857,Individual,Card
ORD1167,2026-02-04,Notebook,Paper,6,35,60,360,210,150,41.66666666666667,Individual,UPI
ORD0146,2026-02-04,Glue,School,2,15,25,50,30,20,40.0,Student,Cash
ORD1035,2026-02-04,Color Pencils,School,7,45,80,560,315,245,43.75,Individual,Cash
ORD0060,2026-02-04,Drawing Book,School,6,30,50,300,180,120,40.0,Individual,UPI
ORD1879,2026-02-04,Notebook,Paper,8,35,60,480,280,200,41.66666666666667,Student,Card
ORD1602,2026-02-05,Ball Pen,Writing,4,5,10,40,20,20,50.0,Student,Card
ORD0578,2026-02-05,Ball Pen,Writing,9,5,10,90,45,45,50.0,Business,UPI
ORD0871,2026-02-05,File,Office,10,18,35,350,180,170,48.57142857142857,Student,Cash
ORD0640,2026-02-05,Color Pencils,School,10,45,80,800,450,350,43.75,Individual,Card
ORD0905,2026-02-06,Glue,School,10,15,25,250,150,100,40.0,Business,Card
ORD1516,2026-02-06,Drawing Book,School,4,30,50,200,120,80,40.0,Individual,Card
ORD0290,2026-02-06,Ball Pen,Writing,1,5,10,10,5,5,50.0,Individual,Cash
ORD1448,2026-02-06,Gel Pen,Writing,4,10,20,80,40,40,50.0,Individual,Card
ORD1859,2026-02-06,Pencil,Writing,5,4,8,40,20,20,50.0,Student,Cash
ORD0491,2026-02-06,Eraser,School,9,3,7,63,27,36,57.14285714285714,Business,Card
ORD1707,2026-02-06,Marker,Writing,1,20,35,35,20,15,42.857142857142854,Student,Card
ORD0639,2026-02-06,Gel Pen,Writing,9,10,20,180,90,90,50.0,Business,Cash
